Product ID,Date,Weekly_Demand,Predicted_Demand
P0017,2022-01-30,3962,4834.38
P0017,2022-02-06,5054,4632.905
P0017,2022-02-13,5039,4776.28
P0017,2022-02-20,5474,4849.595
P0017,2022-02-27,4795,4547.91
P0017,2022-03-06,4640,4890.905
P0017,2022-03-13,3625,4863.33
P0017,2022-03-20,4985,4785.91
P0017,2022-03-27,4979,4715.985
P0017,2022-04-03,4609,4975.395
P0017,2022-04-10,5168,4708.485
P0017,2022-04-17,5913,4835.405
P0017,2022-04-24,4891,4798.52
P0017,2022-05-01,4756,4493.57
P0017,2022-05-08,4257,4793.34
P0017,2022-05-15,4446,4811.205
P0017,2022-05-22,4848,4812.225
P0017,2022-05-29,4692,4837.695
P0017,2022-06-05,4651,4732.35
P0017,2022-06-12,4837,4810.135
P0017,2022-06-19,3927,4715.465
P0017,2022-06-26,5520,4911.94
P0017,2022-07-03,4400,4933.365
P0017,2022-07-10,4535,4722.3
P0017,2022-07-17,3790,4790.02
P0017,2022-07-24,4586,4881.69
P0017,2022-07-31,4487,4774.84
P0017,2022-08-07,4489,5078.475
P0017,2022-08-14,4327,4753.875
P0017,2022-08-21,4067,5123.03
P0017,2022-08-28,4399,4911.945
P0017,2022-09-04,4334,4776.735
P0017,2022-09-11,4653,4900.895
P0017,2022-09-18,5015,4828.23
P0017,2022-09-25,3548,4902.88
P0017,2022-10-02,5388,4932.12
P0017,2022-10-09,6469,4664.455
P0017,2022-10-16,4314,4561.695
P0017,2022-10-23,5371,5078.015
P0017,2022-10-30,4608,4624.4
P0017,2022-11-06,3785,4661.555
P0017,2022-11-13,5000,4985.875
P0017,2022-11-20,4286,4735.42
P0017,2022-11-27,5188,4858.475
P0017,2022-12-04,4474,4962.23
P0017,2022-12-11,5961,4796.575
P0017,2022-12-18,4209,4834.885
P0017,2022-12-25,4683,4616.57
P0017,2023-01-01,5305,4696.495
P0017,2023-01-08,4743,2585.97
P0017,2023-01-15,4230,4916.085
P0017,2023-01-22,3790,4984.69
P0017,2023-01-29,6250,4623.385
P0017,2023-02-05,3710,4833.34
P0017,2023-02-12,5296,4797.03
P0017,2023-02-19,5102,4623.995
P0017,2023-02-26,4540,4986.675
P0017,2023-03-05,5438,4581.425
P0017,2023-03-12,4323,4705.73
P0017,2023-03-19,5088,4783.73
P0017,2023-03-26,5630,4753.54
P0017,2023-04-02,4763,4838.675
P0017,2023-04-09,4033,4682.515
P0017,2023-04-16,4018,4494.49
P0017,2023-04-23,4412,4749.62
P0017,2023-04-30,4903,4858.815
P0017,2023-05-07,4115,4624.54
P0017,2023-05-14,4473,4559.7
P0017,2023-05-21,4737,4645.505
P0017,2023-05-28,5005,4760.855
P0017,2023-06-04,5069,4798.845
P0017,2023-06-11,4947,4883.35
P0017,2023-06-18,5040,4768.43
P0017,2023-06-25,4638,4878.855
P0017,2023-07-02,4841,5104.35
P0017,2023-07-09,5769,4909.565
P0017,2023-07-16,3013,5006.62
P0017,2023-07-23,4734,4791.59
P0017,2023-07-30,5945,4553.12
P0017,2023-08-06,6034,4851.105
P0017,2023-08-13,5065,4665.57
P0017,2023-08-20,5167,5127.63
P0017,2023-08-27,4405,4955.925
P0017,2023-09-03,4573,4737.86
P0017,2023-09-10,4034,4914.505
P0017,2023-09-17,3570,4854.535
P0017,2023-09-24,4507,4340.39
P0017,2023-10-01,4295,4389.7
P0017,2023-10-08,4595,4738.03
P0017,2023-10-15,4462,4985.955
P0017,2023-10-22,6812,5060.63
P0017,2023-10-29,5512,4818.09
P0017,2023-11-05,4554,4864.35
P0017,2023-11-12,6607,4609.975
P0017,2023-11-19,4613,4337.545
P0017,2023-11-26,5686,4943.465
P0017,2023-12-03,5726,4786.765
P0017,2023-12-10,4742,5036.575
P0017,2023-12-17,4680,4689.26
P0017,2023-12-24,3886,4600.78
P0017,2023-12-31,5453,4789.11
P0017,2024-01-07,312,2819.535
P0018,2022-01-30,5396,4711.36
P0018,2022-02-06,4995,4790.69
P0018,2022-02-13,4471,5082.74
P0018,2022-02-20,3986,4828.6
P0018,2022-02-27,6424,4653.615
P0018,2022-03-06,5149,4772.76
P0018,2022-03-13,4206,4729.39
P0018,2022-03-20,4472,4867.87
P0018,2022-03-27,4142,4867.94
P0018,2022-04-03,4668,4836.075
P0018,2022-04-10,4534,4630.23
P0018,2022-04-17,5472,4779.075
P0018,2022-04-24,5307,4571.095
P0018,2022-05-01,5550,4310.385
P0018,2022-05-08,5020,4587.055
P0018,2022-05-15,4707,4789.68
P0018,2022-05-22,4803,4927.4
P0018,2022-05-29,4601,4876.715
P0018,2022-06-05,4093,4446.42
P0018,2022-06-12,3506,4938.72
P0018,2022-06-19,5803,5120.135
P0018,2022-06-26,3757,4904.835
P0018,2022-07-03,5458,4842.405
P0018,2022-07-10,6359,4853.94
P0018,2022-07-17,5052,4628.085
P0018,2022-07-24,5064,5017.8
P0018,2022-07-31,2409,5184.64
P0018,2022-08-07,5177,4774.36
P0018,2022-08-14,4121,4430.105
P0018,2022-08-21,4165,4617.9
P0018,2022-08-28,4211,5075.23
P0018,2022-09-04,6615,4771.115
P0018,2022-09-11,4438,4786.87
P0018,2022-09-18,3562,4771.725
P0018,2022-09-25,3758,4897.085
P0018,2022-10-02,5020,4866.855
P0018,2022-10-09,4844,4795.435
P0018,2022-10-16,4535,4788.58
P0018,2022-10-23,4493,4699.79
P0018,2022-10-30,4815,4768.225
P0018,2022-11-06,3451,4364.795
P0018,2022-11-13,4284,5190.435
P0018,2022-11-20,3903,4755.6
P0018,2022-11-27,3553,4658.595
P0018,2022-12-04,4295,4664.09
P0018,2022-12-11,4136,4813.83
P0018,2022-12-18,4668,4828.27
P0018,2022-12-25,3938,4919.225
P0018,2023-01-01,4553,4661.24
P0018,2023-01-08,5257,3684.985
P0018,2023-01-15,4785,4873.995
P0018,2023-01-22,5545,4933.735
P0018,2023-01-29,4886,4772.145
P0018,2023-02-05,4673,4917.34
P0018,2023-02-12,4081,4736.165
P0018,2023-02-19,5469,4725.26
P0018,2023-02-26,4906,4759.35
P0018,2023-03-05,5082,4630.72
P0018,2023-03-12,3939,4912.135
P0018,2023-03-19,3777,4827.03
P0018,2023-03-26,4363,4661.335
P0018,2023-04-02,4742,4794.245
P0018,2023-04-09,6385,4705.87
P0018,2023-04-16,4741,4746.86
P0018,2023-04-23,4482,4453.88
P0018,2023-04-30,5463,4812.11
P0018,2023-05-07,4751,4707.515
P0018,2023-05-14,5744,4451.375
P0018,2023-05-21,5465,4663.635
P0018,2023-05-28,4185,4866.95
