Product ID,Category,Average_Inventory,Total_Units_Sold,Average_Daily_Demand,Total_Units_Ordered,Average_Price,Lead_Time_Demand,Safety_Stock,Reorder_Point,Risk_Status,Recommended_Action
P0001,Clothing,266.1989247311828,99221,133.36155913978496,83066,53.06301075268817,933.5309139784947,280.0592741935484,1213.590188172043,Stockout Risk,Consider replenishment
P0001,Electronics,270.50857142857143,93595,133.70714285714286,77097,54.60178571428571,935.95,280.785,1216.7350000000001,Stockout Risk,Consider replenishment
P0001,Furniture,275.15555555555557,98454,136.74166666666667,79658,54.515569444444445,957.1916666666667,287.1575,1244.3491666666669,Stockout Risk,Consider replenishment
P0001,Groceries,275.41284403669727,106199,139.18610747051113,86189,55.805019659239846,974.3027522935779,292.29082568807337,1266.5935779816514,Stockout Risk,Consider replenishment
P0001,Toys,277.6552197802198,100592,138.17582417582418,81880,54.72516483516483,967.2307692307693,290.16923076923075,1257.4,Stockout Risk,Consider replenishment
P0002,Clothing,268.7158774373259,97469,135.75069637883007,81294,54.838955431754876,950.2548746518105,285.07646239554316,1235.3313370473536,Stockout Risk,Consider replenishment
P0002,Electronics,267.8486932599725,95072,130.77303988995874,78764,56.196313617606606,915.4112792297112,274.62338376891336,1190.0346629986245,Stockout Risk,Consider replenishment
P0002,Furniture,280.01859229747674,98991,131.4621513944223,80942,54.83504648074369,920.2350597609561,276.07051792828685,1196.305577689243,Stockout Risk,Consider replenishment
P0002,Groceries,273.05075445816186,100626,138.03292181069958,79799,54.692002743484224,966.230452674897,289.8691358024691,1256.099588477366,Stockout Risk,Consider replenishment
P0002,Toys,265.7513736263736,95669,131.41346153846155,81278,55.7873489010989,919.8942307692308,275.96826923076924,1195.8625000000002,Stockout Risk,Consider replenishment
P0003,Clothing,273.1478382147838,94037,131.1534170153417,78368,54.82196652719665,918.0739191073918,275.4221757322175,1193.4960948396092,Stockout Risk,Consider replenishment
P0003,Electronics,274.0957910014514,92656,134.4789550072569,75176,53.84264150943397,941.3526850507983,282.4058055152395,1223.7584905660378,Stockout Risk,Consider replenishment
