Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year,Month,Month_Name,Week,Day_of_Week,Revenue,Potential_Stockout,Potential_Overstock
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,20,Rainy,0,29.69,Autumn,2022,1,January,52,Saturday,4254.5,0,0
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,20,Sunny,0,66.16,Autumn,2022,1,January,52,Saturday,9451.5,0,0
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,10,Sunny,1,31.32,Summer,2022,1,January,52,Saturday,1819.35,0,0
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,10,Cloudy,1,34.74,Autumn,2022,1,January,52,Saturday,1995.9199999999998,0,1
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,2022,1,January,52,Saturday,1030.96,0,1
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,10,Sunny,1,79.35,Winter,2022,1,January,52,Saturday,9834.24,0,0
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,10,Rainy,1,36.55,Winter,2022,1,January,52,Saturday,3313.5199999999995,0,1
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,5,Cloudy,0,100.09,Spring,2022,1,January,52,Saturday,30572.879999999997,0,0
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,10,Cloudy,0,17.66,Autumn,2022,1,January,52,Saturday,3629.4999999999995,0,0
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,2022,1,January,52,Saturday,1679.72,0,1
2022-01-01,S001,P0011,Furniture,South,258,150,153,152.74,58.53,10,Sunny,1,61.42,Spring,2022,1,January,52,Saturday,8779.5,0,0
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,20,Snowy,0,62.21,Spring,2022,1,January,52,Saturday,1398.0,0,0
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,2022,1,January,52,Saturday,1831.2,0,0
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,2022,1,January,52,Saturday,937.3199999999999,0,1
