Product ID,Date,Weekly_Demand,Lag_1,Lag_2,Lag_4,Rolling_Mean_4,Week_Number,Month
P0001,2022-01-02,1353,,,,,52,1
P0001,2022-01-09,4606,1353.0,,,,1,1
P0001,2022-01-16,3557,4606.0,1353.0,,,2,1
P0001,2022-01-23,4920,3557.0,4606.0,,,3,1
P0001,2022-01-30,5003,4920.0,3557.0,1353.0,3609.0,4,1
P0001,2022-02-06,5253,5003.0,4920.0,4606.0,4521.5,5,2
P0001,2022-02-13,4142,5253.0,5003.0,3557.0,4683.25,6,2
P0001,2022-02-20,4797,4142.0,5253.0,4920.0,4829.5,7,2
P0001,2022-02-27,4225,4797.0,4142.0,5003.0,4798.75,8,2
P0001,2022-03-06,5500,4225.0,4797.0,5253.0,4604.25,9,3
P0001,2022-03-13,4869,5500.0,4225.0,4142.0,4666.0,10,3
P0001,2022-03-20,3509,4869.0,5500.0,4797.0,4847.75,11,3
P0001,2022-03-27,4652,3509.0,4869.0,4225.0,4525.75,12,3
P0001,2022-04-03,3812,4652.0,3509.0,5500.0,4632.5,13,4
P0001,2022-04-10,4578,3812.0,4652.0,4869.0,4210.5,14,4
P0001,2022-04-17,5634,4578.0,3812.0,3509.0,4137.75,15,4
P0001,2022-04-24,3361,5634.0,4578.0,4652.0,4669.0,16,4
P0001,2022-05-01,4817,3361.0,5634.0,3812.0,4346.25,17,5
P0001,2022-05-08,3606,4817.0,3361.0,4578.0,4597.5,18,5
P0001,2022-05-15,4181,3606.0,4817.0,5634.0,4354.5,19,5
P0001,2022-05-22,6012,4181.0,3606.0,3361.0,3991.25,20,5
P0001,2022-05-29,4575,6012.0,4181.0,4817.0,4654.0,21,5
P0001,2022-06-05,4845,4575.0,6012.0,3606.0,4593.5,22,6
P0001,2022-06-12,5671,4845.0,4575.0,4181.0,4903.25,23,6
P0001,2022-06-19,4552,5671.0,4845.0,6012.0,5275.75,24,6
P0001,2022-06-26,5968,4552.0,5671.0,4575.0,4910.75,25,6
P0001,2022-07-03,3906,5968.0,4552.0,4845.0,5259.0,26,7
P0001,2022-07-10,3612,3906.0,5968.0,5671.0,5024.25,27,7
P0001,2022-07-17,5226,3612.0,3906.0,4552.0,4509.5,28,7
P0001,2022-07-24,4852,5226.0,3612.0,5968.0,4678.0,29,7
P0001,2022-07-31,4994,4852.0,5226.0,3906.0,4399.0,30,7
P0001,2022-08-07,4337,4994.0,4852.0,3612.0,4671.0,31,8
P0001,2022-08-14,5082,4337.0,4994.0,5226.0,4852.25,32,8
P0001,2022-08-21,5458,5082.0,4337.0,4852.0,4816.25,33,8
P0001,2022-08-28,4223,5458.0,5082.0,4994.0,4967.75,34,8
P0001,2022-09-04,4836,4223.0,5458.0,4337.0,4775.0,35,9
P0001,2022-09-11,5767,4836.0,4223.0,5082.0,4899.75,36,9
